NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 1, Census Tract 109, Sandoval County, New Mexico",332,0,431,0,0,287,49,49,0,378,0,434,0,0,336,550,549,849,0,6,35,043,010900,1,2018
"Block Group 1, Census Tract 6.04, Bernalillo County, New Mexico",659,0,40,0,0,135,0,0,0,659,0,40,0,0,135,532,302,661,21,26,35,001,000604,1,2018
"Block Group 1, Census Tract 5.03, San Juan County, New Mexico",456,0,1268,3,0,51,23,0,23,456,23,1291,3,0,51,491,1310,1103,0,8,35,045,000503,1,2018
"Block Group 4, Census Tract 37.38, Bernalillo County, New Mexico",616,0,316,11,0,63,84,11,73,700,0,316,84,0,74,115,975,770,12,0,35,001,003738,4,2018
"Block Group 2, Census Tract 37.38, Bernalillo County, New Mexico",614,11,35,80,0,177,83,0,83,697,11,35,163,0,177,351,649,799,0,30,35,001,003738,2,2018
"Block Group 2, Census Tract 5.03, San Juan County, New Mexico",455,0,606,32,0,82,175,0,175,620,25,706,102,0,82,352,998,955,4,15,35,045,000503,2,2018
"Block Group 2, Census Tract 6.12, San Juan County, New Mexico",1072,0,131,9,0,96,23,16,7,1095,7,131,9,0,112,373,958,949,28,27,35,045,000612,2,2018
"Block Group 1, Census Tract 6.12, San Juan County, New Mexico",588,0,64,0,0,233,24,0,24,612,0,88,0,0,233,377,532,621,0,0,35,045,000612,1,2018
"Block Group 1, Census Tract 6.08, San Juan County, New Mexico",2493,0,1095,0,0,124,25,9,16,2509,0,1120,0,0,133,476,3261,2670,64,0,35,045,000608,1,2018
"Block Group 3, Census Tract 6.08, San Juan County, New Mexico",596,0,328,21,0,0,0,0,0,596,0,328,21,0,0,187,758,702,0,0,35,045,000608,3,2018
"Block Group 2, Census Tract 6.08, San Juan County, New Mexico",1491,0,0,136,14,97,82,0,82,1554,82,0,136,33,97,495,1325,1332,18,0,35,045,000608,2,2018
"Block Group 1, Census Tract 7.07, San Juan County, New Mexico",969,0,401,40,0,95,18,5,13,987,0,414,40,0,100,531,992,1005,24,37,35,045,000707,1,2018
"Block Group 3, Census Tract 7.07, San Juan County, New Mexico",1150,0,495,0,0,232,31,0,31,1181,0,526,0,0,232,763,1145,1411,15,14,35,045,000707,3,2018
"Block Group 6, Census Tract 5.05, San Juan County, New Mexico",245,12,1395,0,0,146,68,0,68,313,12,1448,15,0,146,283,1583,1321,0,34,35,045,000505,6,2018
"Block Group 3, Census Tract 5.05, San Juan County, New Mexico",286,0,357,0,0,0,3,0,3,289,0,357,0,3,0,76,570,521,0,46,35,045,000505,3,2018
"Block Group 3, Census Tract 5.02, Lea County, New Mexico",725,0,12,0,0,31,0,0,0,725,0,12,0,0,31,509,259,549,0,0,35,025,000502,3,2018
"Block Group 4, Census Tract 6.04, Bernalillo County, New Mexico",510,67,128,0,0,439,28,7,21,531,88,135,0,0,446,689,483,976,8,49,35,001,000604,4,2018
"Block Group 1, Census Tract 21, Bernalillo County, New Mexico",843,106,143,8,0,299,69,7,62,912,143,162,14,0,306,701,767,1298,0,16,35,001,002100,1,2018
"Block Group 4, Census Tract 23, Bernalillo County, New Mexico",3066,21,23,0,0,479,37,0,37,3103,40,41,0,0,479,3317,309,2564,0,0,35,001,002300,4,2018
"Block Group 1, Census Tract 23, Bernalillo County, New Mexico",1283,57,0,0,0,460,65,0,65,1348,57,65,0,0,525,1722,143,1371,18,0,35,001,002300,1,2018
